Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Year
Finland,Western Europe,1,7.632000000000001,2.59519,1.3051,1.5921299999999998,0.87445,0.6806300000000001,0.19164,0.39296,2018
Norway,Western Europe,2,7.593999999999999,2.3832400000000002,1.45563,1.5823399999999999,0.8607600000000001,0.68642,0.28564,0.33969,2018
Denmark,Western Europe,3,7.555,2.37018,1.35115,1.59045,0.86793,0.68325,0.28439000000000003,0.40792,2018
Iceland,Western Europe,4,7.495,2.42599,1.3433,1.64438,0.9138,0.6765,0.35323000000000004,0.13802,2018
Switzerland,Western Europe,5,7.487,2.31953,1.41973,1.549,0.9270799999999999,0.65978,0.25553000000000003,0.35668,2018
Netherlands,Western Europe,6,7.441,2.44843,1.36091,1.4882799999999998,0.87771,0.63807,0.33336,0.29459,2018
Canada,North America,7,7.327999999999999,2.30575,1.33041,1.53191,0.89585,0.6530699999999999,0.32064000000000004,0.29091,2018
New Zealand,Australia and New Zealand,8,7.324,2.15617,1.2680200000000001,1.6006200000000002,0.87608,0.66887,0.36517,0.38884,2018
Sweden,Western Europe,9,7.314,2.21686,1.35544,1.50148,0.91346,0.6594,0.28467,0.38321,2018
Australia,Australia and New Zealand,10,7.272,2.13924,1.33995,1.57254,0.9104399999999999,0.64653,0.361,0.30235,2018
Israel,Middle East and Northern Africa,11,7.19,2.8167299999999997,1.2438200000000001,1.4329100000000001,0.88835,0.46405,0.26245999999999997,0.08167999999999999,2018
Austria,Western Europe,12,7.138999999999999,2.31948,1.34135,1.5041,0.89136,0.61724,0.24201,0.22382,2018
Costa Rica,Latin America and Caribbean,13,7.072,2.91054,1.01009,1.45889,0.8167,0.63152,0.1433,0.10061,2018
Ireland,Western Europe,14,6.977,1.8443,1.4475799999999999,1.58263,0.87629,0.61397,0.30651,0.30582,2018
Germany,Western Europe,15,6.965,2.15076,1.33962,1.47435,0.8605200000000001,0.58615,0.2735,0.27984000000000003,2018
Belgium,Western Europe,16,6.9270000000000005,2.21504,1.32352,1.48288,0.8943200000000001,0.5826899999999999,0.18804,0.24039000000000002,2018
Luxembourg,Western Europe,17,6.91,1.76855,1.57608,1.52007,0.89618,0.63202,0.19605,0.32099,2018
United States,North America,18,6.886,2.22715,1.39804,1.47054,0.81896,0.54732,0.29059,0.13343,2018
United Kingdom,Western Europe,19,6.814,1.9120099999999998,1.30131,1.55873,0.88321,0.53267,0.35433000000000003,0.27207,2018
United Arab Emirates,Middle East and Northern Africa,20,6.774,2.09586,1.46712,1.29556,0.77615,0.66984,0.28392,0.18563,2018
Czech Republic,Central and Eastern Europe,21,6.711,2.4938,1.23347,1.48932,0.85408,0.54264,0.06397,0.033639999999999996,2018
Malta,Western Europe,22,6.627000000000001,1.78375,1.2702,1.5249,0.8843700000000001,0.6453399999999999,0.37581,0.14225,2018
France,Western Europe,23,6.489,2.02775,1.2927899999999999,1.46645,0.9085,0.52031,0.09784,0.17569,2018
Mexico,Latin America and Caribbean,24,6.4879999999999995,2.79451,1.03823,1.25223,0.76066,0.47918,0.06867999999999999,0.0947,2018
Chile,Latin America and Caribbean,25,6.476,2.5165900000000003,1.13131,1.33102,0.80838,0.43123,0.19705999999999999,0.060610000000000004,2018
Taiwan Province of China,Eastern Asia,26,6.441,2.13613,1.36505,1.43597,0.8573799999999999,0.41756000000000004,0.15062,0.07786,2018
Panama,Latin America and Caribbean,27,6.43,2.33618,1.1122,1.43839,0.7588,0.59687,0.12451,0.06309,2018
Brazil,Latin America and Caribbean,28,6.419,2.59203,0.9859,1.47431,0.67514,0.49346,0.11026,0.0878,2018
Argentina,Latin America and Caribbean,29,6.388,2.4182,1.07267,1.46834,0.74359,0.56971,0.061939999999999995,0.05351,2018
Guatemala,Latin America and Caribbean,30,6.382000000000001,2.87072,0.78132,1.26768,0.60841,0.6043,0.17881,0.07061,2018
Uruguay,Latin America and Caribbean,31,6.379,2.14698,1.09266,1.45879,0.77059,0.6248600000000001,0.12962,0.15533,2018
Qatar,Middle East and Northern Africa,32,6.374,1.5930600000000001,1.64905,1.30332,0.748,0.65405,0.2565,0.17054,2018
Saudi Arabia,Middle East and Northern Africa,33,6.371,2.29334,1.37876,1.3312700000000002,0.63342,0.5089600000000001,0.09834,0.12684,2018
Singapore,Southeastern Asia,34,6.343,1.00502,1.52929,1.45117,1.008,0.63135,0.26141,0.45697,2018
Malaysia,Southeastern Asia,35,6.322,2.5066900000000003,1.16131,1.25824,0.66914,0.35615,0.31143000000000004,0.059160000000000004,2018
Spain,Western Europe,36,6.31,1.89232,1.25081,1.53764,0.96488,0.44883999999999996,0.14156,0.07382000000000001,2018
Colombia,Latin America and Caribbean,37,6.26,2.55633,0.9604299999999999,1.43882,0.6350600000000001,0.5314300000000001,0.09859,0.03943,2018
