Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption)
Finland,Western Europe,1,7.632,2.59519,1.30510,1.59213,0.87445,0.68063,0.19164,0.39296
Norway,Western Europe,2,7.594,2.38324,1.45563,1.58234,0.86076,0.68642,0.28564,0.33969
Denmark,Western Europe,3,7.555,2.37018,1.35115,1.59045,0.86793,0.68325,0.28439,0.40792
Iceland,Western Europe,4,7.495,2.42599,1.34330,1.64438,0.91380,0.67650,0.35323,0.13802
Switzerland,Western Europe,5,7.487,2.31953,1.41973,1.54900,0.92708,0.65978,0.25553,0.35668
Netherlands,Western Europe,6,7.441,2.44843,1.36091,1.48828,0.87771,0.63807,0.33336,0.29459
Canada,North America,7,7.328,2.30575,1.33041,1.53191,0.89585,0.65307,0.32064,0.29091
New Zealand,Australia and New Zealand,8,7.324,2.15617,1.26802,1.60062,0.87608,0.66887,0.36517,0.38884
Sweden,Western Europe,9,7.314,2.21686,1.35544,1.50148,0.91346,0.65940,0.28467,0.38321
Australia,Australia and New Zealand,10,7.272,2.13924,1.33995,1.57254,0.91044,0.64653,0.36100,0.30235
Israel,Middle East and Northern Africa,11,7.190,2.81673,1.24382,1.43291,0.88835,0.46405,0.26246,0.08168
Austria,Western Europe,12,7.139,2.31948,1.34135,1.50410,0.89136,0.61724,0.24201,0.22382
Costa Rica,Latin America and Caribbean,13,7.072,2.91054,1.01009,1.45889,0.81670,0.63152,0.14330,0.10061
Ireland,Western Europe,14,6.977,1.84430,1.44758,1.58263,0.87629,0.61397,0.30651,0.30582
Germany,Western Europe,15,6.965,2.15076,1.33962,1.47435,0.86052,0.58615,0.27350,0.27984
Belgium,Western Europe,16,6.927,2.21504,1.32352,1.48288,0.89432,0.58269,0.18804,0.24039
Luxembourg,Western Europe,17,6.910,1.76855,1.57608,1.52007,0.89618,0.63202,0.19605,0.32099
United States,North America,18,6.886,2.22715,1.39804,1.47054,0.81896,0.54732,0.29059,0.13343
United Kingdom,Western Europe,19,6.814,1.91201,1.30131,1.55873,0.88321,0.53267,0.35433,0.27207
United Arab Emirates,Middle East and Northern Africa,20,6.774,2.09586,1.46712,1.29556,0.77615,0.66984,0.28392,0.18563
Czech Republic,Central and Eastern Europe,21,6.711,2.49380,1.23347,1.48932,0.85408,0.54264,0.06397,0.03364
Malta,Western Europe,22,6.627,1.78375,1.27020,1.52490,0.88437,0.64534,0.37581,0.14225
France,Western Europe,23,6.489,2.02775,1.29279,1.46645,0.90850,0.52031,0.09784,0.17569
Mexico,Latin America and Caribbean,24,6.488,2.79451,1.03823,1.25223,0.76066,0.47918,0.06868,0.09470
Chile,Latin America and Caribbean,25,6.476,2.51659,1.13131,1.33102,0.80838,0.43123,0.19706,0.06061
